artifact_id,text,evidence_type,timestamp,gold_controls,gold_rationale,partition
10001,User 'svc-api' failed login 11 times in 2 minutes; account was not automatically locked.,log,2025-09-15 08:15:00+00:00,AC-7;AU-6,Failed login threshold was met without a lockout; the event requires audit review.,train
10002,Configuration scan shows object store bucket 'prod-backups' has server-side encryption disabled; no KMS key is associated.,config,2025-09-15 09:22:10+00:00,SC-28;SC-12,Information at rest is not encrypted and cryptographic key management is not being applied.,test
10003,CHG-9901: Emergency hotfix for API memory leak deployed to production; the standard SAST pipeline was bypassed.,ticket,2025-09-15 11:45:30+00:00,CM-3;SA-11,A configuration change was deployed without completing the required developer security testing.,train
10004,Vulnerability scanner report for host 'db-prod-01' identifies CVE-2025-12345 (CVSS 9.8); patch was released 3 weeks ago.,log,2025-09-15 14:05:45+00:00,RA-5;SI-2,Vulnerability scanning has identified a critical flaw that requires immediate remediation.,train
10005,The external load balancer listener policy permits the use of TLS 1.1; it also allows the RC4 cipher suite.,config,2025-09-15 16:30:00+00:00,SC-8;SC-13,An insecure protocol is used for data in transit and it employs a weak cryptographic algorithm.,test
10006,NTP daemon on domain controller 'dc-01' reports a time drift of over 180 seconds from the primary time source.,log,2025-09-16 01:18:22+00:00,AU-8,System clock is not synchronized; this compromises the integrity of event timestamps.,train
10007,Access for former employee 'j.doe' is still active 15 days after their termination date noted in HR system.,ticket,2025-09-16 09:00:15+00:00,AC-2,User account was not de-provisioned in a timely manner following employment termination.,train
10008,The bastion host's SSH configuration allows password-based authentication for remote access.,config,2025-09-16 10:05:00+00:00,AC-17;IA-2,Remote access method does not enforce multi-factor authentication; it uses only a single factor.,dev
10009,Firewall logs show allowed traffic from a development subnet to the production database on port 1433.,log,2025-09-16 11:21:40+00:00,SC-7,Network boundary protection failed to block traffic between zones that should be isolated.,train
10010,IR-2025-051: EDR alert for potential ransomware activity on a user workstation; incident handling playbook activated.,ticket,2025-09-16 13:50:00+00:00,IR-4,An incident was detected and the formal incident handling process was initiated.,dev
10011,File integrity monitor detected a change to the bootloader configuration on server 'app-prod-02'.,log,2025-09-16 15:04:19+00:00,SI-7,An unauthorized change to a critical system file's integrity was detected.,train
10012,The approved golden image for Linux web servers is six months out of date and missing recent security patches.,config,2025-09-17 09:33:00+00:00,CM-2,The documented baseline configuration for a key system component is outdated and not maintained.,dev
