control_id,family,title,summary,index_text
AC-2,AC,Account Management,"Provision, review, and remove accounts; enforce least privilege and approvals.","Account Management. Provision, review, and remove accounts; enforce least privilege and approvals.. Common patterns: A failure in the account management de-provisioning process has left the organization at risk.; Account provisioning automated; access based on HR data; process logged for audit.; The account management provisioning process was followed correctly.; A failure in the manual account management process resulted in a terminated employee retaining access.; A routine account management action was completed."
AC-6,AC,Least Privilege,Restrict privileges to the minimum necessary; approve/administer role changes.,Least Privilege. Restrict privileges to the minimum necessary; approve/administer role changes.. Common patterns: The principle of least privilege was correctly enforced when handling an access request.; Policy violation detected where a privileged account was used directly for remote access.; The principle of least privilege including separation of duties is not being enforced.; Permissions are not configured to enforce least privilege leading to operational issues.; Account management was used to grant temporary least-privilege access as required.
AC-7,AC,Unsuccessful Logon Attempts,Enforce lockout thresholds and durations after consecutive failed logins.,Unsuccessful Logon Attempts. Enforce lockout thresholds and durations after consecutive failed logins.. Common patterns: Repeated failures of the multi-factor authentication mechanism triggered an account lockout.; The unsuccessful logon attempt policy is being enforced.; The unsuccessful logon attempt policy was successfully enforced by the system.; A distributed login attack bypassed a simple lockout policy requiring centralized audit and review.; The policy for unsuccessful logon attempts is not being applied to all user accounts.
AC-17,AC,Remote Access,Authorize and monitor remote connections; require secure channels and MFA.,Remote Access. Authorize and monitor remote connections; require secure channels and MFA.. Common patterns: A secure configuration setting for remote access has not been correctly implemented.; Remote access location restrictions not enforced.; Unauthorized remote access attempt blocked by certificate validation.; A configuration change request was denied because it violated the secure remote access policy.; Policy violation detected where a privileged account was used directly for remote access.
AC-18,AC,Wireless Access,Control and monitor wireless access; use strong encryption and auth.,Wireless Access. Control and monitor wireless access; use strong encryption and auth.. Common patterns: Wireless access control and network protection.; Wireless access authorization lacking proper evaluation.; The wireless access configuration permits the use of a weak non-compliant cryptographic protocol.; Wireless authenticator secrecy is compromised by being publicly listed internally.; The wireless access solution is using a weak insecure authenticator.
AU-2,AU,Event Logging,Define and enable auditable events across systems and applications.,Event Logging. Define and enable auditable events across systems and applications.. Common patterns: The system has been deployed without the capability to generate required auditable events.; The required auditable events were not recorded for a period of time.; The system was deployed without the capability to generate required auditable events.; Audit events collection temporarily interrupted.; Audit retention policy violation requires correction.
AU-3,AU,Content of Audit Records,Audit records contain who/what/when/where with sufficient detail.,Content of Audit Records. Audit records contain who/what/when/where with sufficient detail.. Common patterns: Audit content volume manageable for analysis.; Privileged session monitored; policy violation detected; file integrity alert raised.; The content of audit records is missing essential information for security investigations.; The content of audit records is insufficient to reconstruct user activity.; Remote access security enhanced; strong auth enforced; old credentials revoked.
AU-6,AU,"Audit Review, Analysis, and Reporting",Regularly review and analyze audit logs; track anomalies and findings.,"Audit Review, Analysis, and Reporting. Regularly review and analyze audit logs; track anomalies and findings.. Common patterns: Failed login threshold met and audit review performed.; Failed login threshold and review both applied.; Malware was blocked; system protected; event requires audit review.; The configuration for audit review and analysis is not effective at detecting password spraying attacks.; SIEM tuning improves detection accuracy; configuration updated; review process documented."
AU-8,AU,Time Stamps,"Synchronize time sources (e.g., NTP); maintain accurate timestamps.","Time Stamps. Synchronize time sources (e.g., NTP); maintain accurate timestamps.. Common patterns: Failure of established time sources led to inaccurate timestamps on security-critical logs.; Time synchronization accuracy degraded during outage.; A time synchronization failure on the central audit analysis system is compromising all log data.; A lack of automated time synchronization on a logging component is corrupting timestamps.; The time synchronization configuration lacks redundancy and relies on an untrusted external source."
AU-12,AU,Audit Generation,Ensure components generate logs for auditable events with integrity.,Audit Generation. Ensure components generate logs for auditable events with integrity.. Common patterns: Network rule cleanup completed; configuration optimized; review process documented.; Security training completed; phishing simulation analyzed; metrics recorded for review.; The audit generation mechanism is configured in a way that negatively impacts system availability.; An improper audit generation setting led to a self-inflicted denial of service.; Audit record retention is compromised because logs are stored on non-persistent media.
CM-2,CM,Baseline Configuration,"Define, document, and maintain baseline configurations.","Baseline Configuration. Define, document, and maintain baseline configurations.. Common patterns: The lack of a documented baseline configuration was identified as a finding in a formal audit.; Security baseline documented; compliance monitored; configuration management updated.; The baseline configuration for a system component is insecure by default leading to boundary risks.; The system was deployed without adhering to the baseline configuration requirement to change default authenticators.; A new system was successfully deployed in accordance with the secure baseline configuration."
CM-3,CM,Configuration Change Control,"Approve, test, and document changes; enforce change windows.","Configuration Change Control. Approve, test, and document changes; enforce change windows.. Common patterns: Change deployed outside window causing issues; rollback executed; incident response involved.; Change scope expanded without proper authorization.; A configuration change request was denied because it violated the secure remote access policy.; The change control process was not followed correctly.; Change control authorization and security testing both missing."
CM-6,CM,Configuration Settings,Enforce secure configuration settings; monitor for drift.,Configuration Settings. Enforce secure configuration settings; monitor for drift.. Common patterns: A secure configuration setting for remote access has not been correctly implemented.; Network rule cleanup completed; configuration optimized; review process documented.; Security baseline documented; compliance monitored; configuration management updated.; Configuration drift detected; non-compliant settings found; monitoring alerted and ticket created.; A secure configuration setting from the approved baseline is not being enforced.
CM-8,CM,System Component Inventory,"Maintain accurate, up-to-date asset and software inventories.","System Component Inventory. Maintain accurate, up-to-date asset and software inventories.. Common patterns: The system component inventory process has identified unauthorized software on the network.; Security baseline documented; compliance monitored; configuration management updated.; Information system component inventory gaps discovered.; Configuration drift detected; non-compliant settings found; monitoring alerted and ticket created.; The system component inventory process identified unauthorized software installations."
IA-2,IA,Identification and Authentication (Org Users),Use MFA and unique IDs for users and services.,Identification and Authentication (Org Users). Use MFA and unique IDs for users and services.. Common patterns: Repeated failures of the multi-factor authentication mechanism triggered an account lockout.; The use of a shared identifier violates the principle of individual accountability.; Identification and authentication for a privileged account does not require MFA.; The use of a shared identifier violates the requirement for individual accountability.; Remote access security enhanced; strong auth enforced; old credentials revoked.
