artifact_id,text,evidence_type,timestamp,gold_controls,gold_rationale
1,User 'svc-api' failed login 11 times in 2 minutes; account was not automatically locked.,log,2025-09-15T08:15:00Z,AC-7;AU-6,Failed login threshold was met without a lockout; the event requires audit review.
2,Configuration scan shows object store bucket 'prod-backups' has server-side encryption disabled; no KMS key is associated.,config,2025-09-15T09:22:10Z,SC-28;SC-12,Information at rest is not encrypted and cryptographic key management is not being applied.
3,CHG-9901: Emergency hotfix for API memory leak deployed to production; the standard SAST pipeline was bypassed.,ticket,2025-09-15T11:45:30Z,CM-3;SA-11,A configuration change was deployed without completing the required developer security testing.
4,Vulnerability scanner report for host 'db-prod-01' identifies CVE-2025-12345 (CVSS 9.8); patch was released 3 weeks ago.,log,2025-09-15T14:05:45Z,RA-5;SI-2,Vulnerability scanning has identified a critical flaw that requires immediate remediation.
5,The external load balancer listener policy permits the use of TLS 1.1; it also allows the RC4 cipher suite.,config,2025-09-15T16:30:00Z,SC-8;SC-13,An insecure protocol is used for data in transit and it employs a weak cryptographic algorithm.
6,NTP daemon on domain controller 'dc-01' reports a time drift of over 180 seconds from the primary time source.,log,2025-09-16T01:18:22Z,AU-8,System clock is not synchronized; this compromises the integrity of event timestamps.
7,Access for former employee 'j.doe' is still active 15 days after their termination date noted in HR system.,ticket,2025-09-16T09:00:15Z,AC-2,User account was not de-provisioned in a timely manner following employment termination.
8,The bastion host's SSH configuration allows password-based authentication for remote access.,config,2025-09-16T10:05:00Z,AC-17;IA-2,Remote access method does not enforce multi-factor authentication; it uses only a single factor.
9,Firewall logs show allowed traffic from a development subnet to the production database on port 1433.,log,2025-09-16T11:21:40Z,SC-7,Network boundary protection failed to block traffic between zones that should be isolated.
10,IR-2025-051: EDR alert for potential ransomware activity on a user workstation; incident handling playbook activated.,ticket,2025-09-16T13:50:00Z,IR-4,An incident was detected and the formal incident handling process was initiated.
11,File integrity monitor detected a change to the bootloader configuration on server 'app-prod-02'.,log,2025-09-16T15:04:19Z,SI-7,An unauthorized change to a critical system file's integrity was detected.
12,The approved golden image for Linux web servers is six months out of date and missing recent security patches.,config,2025-09-17T09:33:00Z,CM-2,The documented baseline configuration for a key system component is outdated and not maintained.
13,The primary SIEM has stopped receiving audit logs from the entire Kubernetes cluster; last log received 6 hours ago.,log,2025-09-17T10:00:05Z,AU-12,A critical system component has stopped generating and transmitting audit records.
14,Annual test of the financial database backup failed to restore successfully; recovery process halted on checksum error.,ticket,2025-09-17T14:22:30Z,CP-9,The information system backup failed a restorability test; this indicates data may not be recoverable.
15,The SNMP service on a core network switch is using the default 'public' community string.,config,2025-09-17T16:01:00Z,CM-6,A critical network device is using a weak; default configuration setting.
16,EDR alert: PowerShell executed a Base64-encoded command on host 'win-term-05'; this is consistent with malicious activity.,log,2025-09-18T03:15:29Z,SI-4,System monitoring tools detected anomalous behavior indicative of a potential system compromise.
17,User 'asmith' in the 'Help Desk' role was granted Domain Admin privileges to troubleshoot a minor issue.,ticket,2025-09-18T09:40:10Z,AC-6,User was assigned system privileges that are not required for their job function.
18,The 'Corp-Guest' wireless network is configured to use WPA with TKIP instead of the required WPA2 with AES.,config,2025-09-18T11:55:00Z,AC-18,Wireless access is protected by a weak cryptographic algorithm that has been deprecated.
19,New service account 'svc-deploy' was created with a non-expiring password; password rotation policy was not applied.,ticket,2025-09-18T14:12:45Z,IA-5,Authenticator management policy was not enforced for a newly created service account.
20,Application logs for 'create record' events are missing the source IP address for over 50% of entries.,log,2025-09-18T17:08:33Z,AU-3,Audit records do not contain sufficient content to properly analyze the event.
21,The system component inventory has not been updated in 90 days; three new database servers are not listed.,config,2025-09-19T09:00:00Z,CM-8,The inventory of system components is inaccurate and out of date.
22,Anti-malware scan on the primary file server identified and quarantined three instances of a known malware variant.,log,2025-09-19T10:30:50Z,SI-3,Malicious code was detected and blocked by the anti-malware solution as intended.
23,A DDoS alert was triggered for the public API gateway; the system experienced a 500% spike in traffic.,ticket,2025-09-19T11:41:00Z,SC-5;IR-5,A denial-of-service attack was detected and is being tracked as a security incident.
24,The primary authentication service is not configured to log successful login events; only failures are recorded.,log,2025-09-19T14:05:13Z,AU-2,The system is not configured to generate auditable events for all required security outcomes.
25,Access for developer 'b.jones' to the production Kubernetes cluster was approved; ticket linked to JIRA issue DEV-456.,ticket,2025-09-19T16:20:00Z,AC-2,An account management action (granting access) was performed and documented with authorization.
26,The vulnerability scanning tool is only performing unauthenticated network scans; it is not checking for missing patches.,config,2025-09-20T10:00:21Z,RA-5,Vulnerability monitoring is not configured to be comprehensive; this limits its effectiveness.
27,Vulnerability scan result for host 'app-02a' shows CVE-2025-4433 (CVSS 7.5) is present; patch is available.,log,2025-09-20T14:02:55Z,RA-5;SI-2,A high-severity vulnerability was identified by scanning and requires flaw remediation.
28,Object store bucket 'analytics-logs' has server-side encryption disabled.,config,2025-09-20T16:30:00Z,SC-28;SC-12,Protection of information at rest is missing due to disabled encryption.
29,User 'svc-etl' failed login 10 times in 2 minutes; the account remained unlocked.,log,2025-09-21T08:11:00Z,AC-7;AU-6,Failed login lockout policy was not enforced; the event requires audit review.
30,API gateway configuration allows TLS 1.0 which is deprecated and known to have vulnerabilities.,config,2025-09-21T09:26:11Z,SC-8;SC-13,An obsolete and insecure cryptographic protocol is used for protecting data in transit.
31,CHG-8914: Hotfix for an API bug was deployed to production; the ticket has no link to a code review.,ticket,2025-09-21T11:46:30Z,CM-3;SA-11,A change was deployed without evidence that required developer security testing was completed.
