artifact_id,text,evidence_type,timestamp,gold_controls,partition,gold_rationale,auditor_id
2000,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T09:00:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2001,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T09:03:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2002,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T09:06:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2003,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T09:09:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2004,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T09:12:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2005,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T09:15:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2006,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T09:18:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2007,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T09:21:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2008,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T09:24:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2009,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T09:27:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2010,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T09:30:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2011,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T09:33:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2012,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T09:36:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2013,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T09:39:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2014,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T09:42:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2015,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T09:45:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2016,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T09:48:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2017,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T09:51:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2018,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T09:54:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2019,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T09:57:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2020,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:00:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2021,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:03:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2022,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T10:06:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2023,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:09:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2024,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:12:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2025,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:15:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2026,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:18:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2027,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:21:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2028,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T10:24:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2029,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:27:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2030,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:30:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2031,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:33:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2032,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:36:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2033,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:39:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2034,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T10:42:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2035,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:45:00Z,CM-3;SA-11,feedback,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2036,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:48:00Z,AC-7;AU-6,feedback,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2037,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:51:00Z,SC-28;SC-12,feedback,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2038,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:54:00Z,AU-8,feedback,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2039,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:57:00Z,SC-5;SC-7,feedback,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2040,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:00:00Z,SC-8;SC-13,feedback,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
